scenario_id,sub_id,scenario_key,recording_datetime,bag_name,relative_path,size_bytes,size_gib,duration_seconds,start_time,end_time,total_messages,front_frames,back_frames,robot_state_messages,front_fps,back_fps,topic_count,topics,storage_id,ros_distro,error
7,0,7_0,2026-07-27T11:50:53,Jul27_Scenario_7_0_2026-07-27_11-50-53_0.mcap,Jul27_Scenario_7_0_2026-07-27_11-50-53/Jul27_Scenario_7_0_2026-07-27_11-50-53_0.mcap,386685786,0.360,22.653,2026-07-27T13:50:53.447021+02:00,2026-07-27T13:51:16.099535+02:00,1361,567,567,227,25.030,25.030,3,/camera/back_view/image_raw (567); /camera/front_view/image_raw (567); /sr/state (227),mcap,kilted,
7,1,7_1,2026-07-27T11:51:42,Jul27_Scenario_7_1_2026-07-27_11-51-42_0.mcap,Jul27_Scenario_7_1_2026-07-27_11-51-42/Jul27_Scenario_7_1_2026-07-27_11-51-42_0.mcap,1096031879,1.021,66.164,2026-07-27T13:51:42.689898+02:00,2026-07-27T13:52:48.853794+02:00,3960,1655,1643,662,25.014,24.832,3,/camera/back_view/image_raw (1643); /camera/front_view/image_raw (1655); /sr/state (662),mcap,kilted,
7,2,7_2,2026-07-27T11:53:32,Jul27_Scenario_7_2_2026-07-27_11-53-32_0.mcap,Jul27_Scenario_7_2_2026-07-27_11-53-32/Jul27_Scenario_7_2_2026-07-27_11-53-32_0.mcap,381442619,0.355,22.787,2026-07-27T13:53:32.985181+02:00,2026-07-27T13:53:55.772643+02:00,1364,571,566,227,25.058,24.838,3,/camera/back_view/image_raw (566); /camera/front_view/image_raw (571); /sr/state (227),mcap,kilted,
8,0,8_0,2026-07-27T11:55:34,Jul27_Scenario_8_0_2026-07-27_11-55-34_0.mcap,Jul27_Scenario_8_0_2026-07-27_11-55-34/Jul27_Scenario_8_0_2026-07-27_11-55-34_0.mcap,573934543,0.535,35.280,2026-07-27T13:55:35.012063+02:00,2026-07-27T13:56:10.291900+02:00,2110,883,874,353,25.028,24.773,3,/camera/back_view/image_raw (874); /camera/front_view/image_raw (883); /sr/state (353),mcap,kilted,
8,1,8_1,2026-07-27T11:56:55,Jul27_Scenario_8_1_2026-07-27_11-56-55_0.mcap,Jul27_Scenario_8_1_2026-07-27_11-56-55/Jul27_Scenario_8_1_2026-07-27_11-56-55_0.mcap,575573961,0.536,35.203,2026-07-27T13:56:55.450416+02:00,2026-07-27T13:57:30.653082+02:00,2106,881,873,352,25.027,24.799,3,/camera/back_view/image_raw (873); /camera/front_view/image_raw (881); /sr/state (352),mcap,kilted,
8,2,8_2,2026-07-27T11:58:02,Jul27_Scenario_8_2_2026-07-27_11-58-02_0.mcap,Jul27_Scenario_8_2_2026-07-27_11-58-02/Jul27_Scenario_8_2_2026-07-27_11-58-02_0.mcap,450581631,0.420,27.562,2026-07-27T13:58:03.091205+02:00,2026-07-27T13:58:30.653563+02:00,1649,690,683,276,25.034,24.780,3,/camera/back_view/image_raw (683); /camera/front_view/image_raw (690); /sr/state (276),mcap,kilted,
8,3,8_3,2026-07-27T12:00:19,Jul27_Scenario_8_3_2026-07-27_12-00-19_0.mcap,Jul27_Scenario_8_3_2026-07-27_12-00-19/Jul27_Scenario_8_3_2026-07-27_12-00-19_0.mcap,743108567,0.692,45.243,2026-07-27T14:00:19.728401+02:00,2026-07-27T14:01:04.971333+02:00,2707,1132,1122,453,25.020,24.799,3,/camera/back_view/image_raw (1122); /camera/front_view/image_raw (1132); /sr/state (453),mcap,kilted,
8,4,8_4,2026-07-27T12:01:36,Jul27_Scenario_8_4_2026-07-27_12-01-36_0.mcap,Jul27_Scenario_8_4_2026-07-27_12-01-36/Jul27_Scenario_8_4_2026-07-27_12-01-36_0.mcap,487585902,0.454,29.525,2026-07-27T14:01:36.327831+02:00,2026-07-27T14:02:05.852695+02:00,1764,738,732,294,24.996,24.793,3,/camera/back_view/image_raw (732); /camera/front_view/image_raw (738); /sr/state (294),mcap,kilted,
9,0,9_0,2026-07-27T13:25:55,Jul27_Scenario_9_0_2026-07-27_13-25-55_0.mcap,Jul27_Scenario_9_0_2026-07-27_13-25-55/Jul27_Scenario_9_0_2026-07-27_13-25-55_0.mcap,809773332,0.754,48.354,2026-07-27T15:25:55.710789+02:00,2026-07-27T15:26:44.064866+02:00,2889,1208,1197,484,24.982,24.755,3,/camera/back_view/image_raw (1197); /camera/front_view/image_raw (1208); /sr/state (484),mcap,kilted,
10,0,10_0,2026-07-27T13:24:30,Jul27_Scenario_10_0_2026-07-27_13-24-30_0.mcap,Jul27_Scenario_10_0_2026-07-27_13-24-30/Jul27_Scenario_10_0_2026-07-27_13-24-30_0.mcap,70055707,0.065,3.965,2026-07-27T15:24:30.580968+02:00,2026-07-27T15:24:34.545471+02:00,240,100,100,40,25.224,25.224,3,/camera/back_view/image_raw (100); /camera/front_view/image_raw (100); /sr/state (40),mcap,kilted,
10,1,10_1,2026-07-27T13:24:45,Jul27_Scenario_10_1_2026-07-27_13-24-45_0.mcap,Jul27_Scenario_10_1_2026-07-27_13-24-45/Jul27_Scenario_10_1_2026-07-27_13-24-45_0.mcap,76731378,0.071,4.409,2026-07-27T15:24:45.610523+02:00,2026-07-27T15:24:50.019688+02:00,266,110,111,45,24.948,25.175,3,/camera/back_view/image_raw (111); /camera/front_view/image_raw (110); /sr/state (45),mcap,kilted,
11,0,11_0,2026-07-27T13:22:52,Jul27_Scenario_11_0_2026-07-27_13-22-52_0.mcap,Jul27_Scenario_11_0_2026-07-27_13-22-52/Jul27_Scenario_11_0_2026-07-27_13-22-52_0.mcap,59187448,0.055,3.440,2026-07-27T15:22:52.786001+02:00,2026-07-27T15:22:56.225877+02:00,207,87,85,35,25.292,24.710,3,/camera/back_view/image_raw (85); /camera/front_view/image_raw (87); /sr/state (35),mcap,kilted,
11,1,11_1,2026-07-27T13:23:36,Jul27_Scenario_11_1_2026-07-27_13-23-36_0.mcap,Jul27_Scenario_11_1_2026-07-27_13-23-36/Jul27_Scenario_11_1_2026-07-27_13-23-36_0.mcap,68827403,0.064,3.966,2026-07-27T15:23:37.305891+02:00,2026-07-27T15:23:41.272012+02:00,240,100,100,40,25.214,25.214,3,/camera/back_view/image_raw (100); /camera/front_view/image_raw (100); /sr/state (40),mcap,kilted,
12,0,12_0,2026-07-27T12:59:03,Jul27_Scenario_12_0_2026-07-27_12-59-03_0.mcap,Jul27_Scenario_12_0_2026-07-27_12-59-03/Jul27_Scenario_12_0_2026-07-27_12-59-03_0.mcap,963467958,0.897,57.171,2026-07-27T14:59:03.699697+02:00,2026-07-27T15:00:00.870204+02:00,3416,1430,1414,572,25.013,24.733,3,/camera/back_view/image_raw (1414); /camera/front_view/image_raw (1430); /sr/state (572),mcap,kilted,
12,1,12_1,2026-07-27T13:01:09,Jul27_Scenario_12_1_2026-07-27_13-01-09_0.mcap,Jul27_Scenario_12_1_2026-07-27_13-01-09/Jul27_Scenario_12_1_2026-07-27_13-01-09_0.mcap,853099579,0.795,50.521,2026-07-27T15:01:09.703143+02:00,2026-07-27T15:02:00.223668+02:00,3023,1264,1254,505,25.020,24.822,3,/camera/back_view/image_raw (1254); /camera/front_view/image_raw (1264); /sr/state (505),mcap,kilted,
13,0,13_0,2026-07-27T13:05:19,Jul27_Scenario_13_0_2026-07-27_13-05-19_0.mcap,Jul27_Scenario_13_0_2026-07-27_13-05-19/Jul27_Scenario_13_0_2026-07-27_13-05-19_0.mcap,576059180,0.536,34.686,2026-07-27T15:05:20.301402+02:00,2026-07-27T15:05:54.987339+02:00,2082,868,867,347,25.025,24.996,3,/camera/back_view/image_raw (867); /camera/front_view/image_raw (868); /sr/state (347),mcap,kilted,
13,1,13_1,2026-07-27T13:08:20,Jul27_Scenario_13_1_2026-07-27_13-08-20_0.mcap,Jul27_Scenario_13_1_2026-07-27_13-08-20/Jul27_Scenario_13_1_2026-07-27_13-08-20_0.mcap,416949346,0.388,25.003,2026-07-27T15:08:20.666843+02:00,2026-07-27T15:08:45.670337+02:00,1492,626,616,250,25.037,24.637,3,/camera/back_view/image_raw (616); /camera/front_view/image_raw (626); /sr/state (250),mcap,kilted,
14,0,14_0,2026-07-27T13:10:08,Jul27_Scenario_14_0_2026-07-27_13-10-08_0.mcap,Jul27_Scenario_14_0_2026-07-27_13-10-08/Jul27_Scenario_14_0_2026-07-27_13-10-08_0.mcap,393577772,0.367,23.289,2026-07-27T15:10:08.780059+02:00,2026-07-27T15:10:32.068991+02:00,1393,583,577,233,25.033,24.776,3,/camera/back_view/image_raw (577); /camera/front_view/image_raw (583); /sr/state (233),mcap,kilted,
14,1,14_1,2026-07-27T13:11:06,Jul27_Scenario_14_1_2026-07-27_13-11-06_0.mcap,Jul27_Scenario_14_1_2026-07-27_13-11-06/Jul27_Scenario_14_1_2026-07-27_13-11-06_0.mcap,201340318,0.188,11.950,2026-07-27T15:11:06.360939+02:00,2026-07-27T15:11:18.310834+02:00,714,300,295,119,25.105,24.686,3,/camera/back_view/image_raw (295); /camera/front_view/image_raw (300); /sr/state (119),mcap,kilted,
15,0,15_0,2026-07-27T13:20:11,Jul27_Scenario_15_0_2026-07-27_13-20-11_0.mcap,Jul27_Scenario_15_0_2026-07-27_13-20-11/Jul27_Scenario_15_0_2026-07-27_13-20-11_0.mcap,676085952,0.630,40.445,2026-07-27T15:20:12.100977+02:00,2026-07-27T15:20:52.545969+02:00,2423,1012,1006,405,25.022,24.873,3,/camera/back_view/image_raw (1006); /camera/front_view/image_raw (1012); /sr/state (405),mcap,kilted,
16,0,16_0,2026-07-27T11:28:46,Jul27_Scenario_16_0_2026-07-27_11-28-46_0.mcap,Jul27_Scenario_16_0_2026-07-27_11-28-46/Jul27_Scenario_16_0_2026-07-27_11-28-46_0.mcap,2771674979,2.581,164.795,2026-07-27T13:28:46.935404+02:00,2026-07-27T13:31:31.730608+02:00,9862,4121,4093,1648,25.007,24.837,3,/camera/back_view/image_raw (4093); /camera/front_view/image_raw (4121); /sr/state (1648),mcap,kilted,
16,1,16_1,2026-07-27T13:17:51,Jul27_Scenario_16_1_2026-07-27_13-17-51_0.mcap,Jul27_Scenario_16_1_2026-07-27_13-17-51/Jul27_Scenario_16_1_2026-07-27_13-17-51_0.mcap,538484477,0.502,31.322,2026-07-27T15:17:51.588932+02:00,2026-07-27T15:18:22.910644+02:00,1873,784,775,314,25.031,24.743,3,/camera/back_view/image_raw (775); /camera/front_view/image_raw (784); /sr/state (314),mcap,kilted,
